Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tasks/,29,0,10,9.668467020423249,4.206916317343712,15.464459080249071,15689.0,0.9992435771773128,0.0,10,11,11,11,12,12,15,15,15,15,15
POST,/tasks/,46,0,11,10.581442073959371,4.0008751675486565,19.931707996875048,194.1304347826087,1.5850070534536687,0.0,11,11,11,12,15,16,20,20,20,20,20
GET,/tasks/269,3,0,7,6.793721889456113,5.046582780778408,8.103749714791775,227.0,0.10337002522523926,0.0,7,7,8,8,8,8,8,8,8,8,8
PUT,/tasks/269,1,0,13.151916209608316,13.151916209608316,13.151916209608316,13.151916209608316,223.0,0.034456675075079754,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/tasks/270,6,0,5,5.982771050184965,3.313791938126087,8.647125214338303,223.66666666666666,0.20674005045047852,0.0,7,7,8,8,9,9,9,9,9,9,9
PUT,/tasks/270,1,0,9.423249866813421,9.423249866813421,9.423249866813421,9.423249866813421,223.0,0.034456675075079754,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/tasks/272,4,0,5,6.469343556091189,4.360833205282688,9.786957874894142,227.0,0.13782670030031902,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,/tasks/273,3,0,8,7.439763595660527,5.057415924966335,9.030042216181755,227.0,0.10337002522523926,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/tasks/274,5,0,8,6.721758563071489,3.6026667803525925,8.537250105291605,227.0,0.17228337537539876,0.0,8,8,8,9,9,9,9,9,9,9,9
GET,/tasks/275,3,0,6,6.701889137427012,5.138208623975515,8.790583815425634,224.33333333333334,0.10337002522523926,0.0,6,6,9,9,9,9,9,9,9,9,9
PUT,/tasks/275,1,0,6.211374886333942,6.211374886333942,6.211374886333942,6.211374886333942,223.0,0.034456675075079754,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/tasks/276,4,0,8,8.301854017190635,7.237874902784824,9.469916112720966,223.0,0.13782670030031902,0.0,8,8,9,9,9,9,9,9,9,9,9
PUT,/tasks/276,1,0,8.291416801512241,8.291416801512241,8.291416801512241,8.291416801512241,223.0,0.034456675075079754,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/tasks/277,5,0,8,7.331149931997061,3.837625030428171,8.561625145375729,226.2,0.17228337537539876,0.0,8,8,8,9,9,9,9,9,9,9,9
PUT,/tasks/277,2,0,10.187750216573477,11.748104123398662,10.187750216573477,13.308458030223846,223.0,0.06891335015015951,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/tasks/280,3,0,7,6.626555075248082,3.886207938194275,8.588041178882122,225.66666666666666,0.10337002522523926,0.0,7,7,9,9,9,9,9,9,9,9,9
PUT,/tasks/280,1,0,6.2754168175160885,6.2754168175160885,6.2754168175160885,6.2754168175160885,223.0,0.034456675075079754,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/tasks/281,5,0,6,6.1437249183654785,2.953666727989912,9.875540621578693,226.2,0.17228337537539876,0.0,6,8,8,10,10,10,10,10,10,10,10
PUT,/tasks/281,1,0,11.741458903998137,11.741458903998137,11.741458903998137,11.741458903998137,223.0,0.034456675075079754,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/tasks/priority/top?n=10,10,0,8,9.287696098908782,6.320791784673929,14.355292078107595,1632.0,0.3445667507507975,0.0,10,11,11,11,14,14,14,14,14,14,14
GET,/tasks/search/?q=%D1%82%D0%B5%D1%81%D1%82,18,0,8,8.418182920043668,4.469874780625105,10.585208889096975,2.0,0.6202201513514356,0.0,8,9,10,10,11,11,11,11,11,11,11
,Aggregated,152,0,9,9.005115440997638,2.953666727989912,19.931707996875048,3232.25,5.237414611412122,0.0,9,10,11,11,12,13,16,17,20,20,20
